Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,age,Emp_duration,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label
5008827,M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,51.39493497604381,0.0,1,0,0,0,Laborers,2,1
5009744,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.1170431211499,1.6043805612594113,1,1,1,0,Laborers,2,1
5009746,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,43.91606316433474,1.6043805612594113,1,1,1,0,Laborers,2,1
5009749,F,Y,N,0,166500.0,Commercial associate,Higher education,Married,House / apartment,37.1170431211499,1.6043805612594113,1,1,1,0,Laborers,2,1
5009752,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.1170431211499,1.6043805612594113,1,1,1,0,Laborers,2,1
5009753,F,Y,N,0,315000.0,Pensioner,Higher education,Married,House / apartment,37.1170431211499,1.6043805612594113,1,1,1,0,Laborers,2,1
5009754,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.1170431211499,1.6043805612594113,1,1,1,0,Laborers,2,1
5009894,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.59958932238193,0.0,1,0,0,0,Laborers,2,1
5010864,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,49.75496235455168,1.8562628336755647,1,0,1,1,Core staff,3,1
5010868,M,Y,Y,1,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,49.75496235455168,1.8562628336755647,1,0,1,1,Core staff,3,1
5010869,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,49.75496235455168,1.8562628336755647,1,0,1,1,Core staff,1,1
5018498,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,51.88227241615332,2.7433264887063653,1,1,1,0,Cooking staff,2,1
5018501,F,Y,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,51.88227241615332,2.7433264887063653,1,1,1,0,Cooking staff,2,1
5018503,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,51.88227241615332,2.7433264887063653,1,1,1,0,Cooking staff,2,1
5021303,M,N,N,1,472500.0,Pensioner,Higher education,Married,With parents,24.386036960985628,2.4996577686516086,1,0,0,1,Laborers,3,1
5021310,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,46.25872689938399,0.6789869952087612,1,0,0,0,Laborers,2,1
5021314,M,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,46.25872689938399,0.6789869952087612,1,0,0,0,Laborers,2,1
5021430,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,51.76454483230664,6.76249144421629,1,0,0,0,Sales staff,1,1
5021431,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,51.76454483230664,6.76249144421629,1,0,0,0,Sales staff,1,1
5021998,M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,51.644079397672826,4.501026694045175,1,0,0,1,Laborers,2,1
5022053,M,N,N,0,202500.0,Working,Higher education,Single / not married,House / apartment,35.07460643394935,11.846680355920602,1,0,0,0,Laborers,1,1
5022617,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,32.91444216290212,4.583162217659138,1,0,0,1,Laborers,2,1
5023781,M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,48.733744010951405,2.973305954825462,1,0,0,0,Accountants,2,1
5023831,F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33.223819301848046,2.532511978097194,1,0,0,0,Sales staff,4,1
5024071,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,43.73990417522245,2.3381245722108144,1,0,0,0,Laborers,2,1
5024916,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,59.77275838466804,0.0,1,0,1,0,Laborers,2,1
5024917,F,N,Y,0,166500.0,Pensioner,Secondary / secondary special,Married,House / apartment,59.77275838466804,0.0,1,0,1,0,Laborers,2,1
5025127,F,N,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,30.420260095824776,9.17180013689254,1,0,0,0,High skill tech staff,2,1
5029028,F,N,Y,0,90000.0,Working,Lower secondary,Single / not married,Rented apartment,32.92539356605065,13.059548254620124,1,0,0,0,Cleaning staff,2,1
